"asiasanat","ilmestymispäivä","käytön päättyminen","nimellisarvo","merkin nimi","merkin väri","painopaikka","painosmäärä","taiteilija","valuutta","kuvan_url"
"Snellman valtiomies professori rahatalous raha muotokuva Suomen Pankki ","11.1.2006","","0,65","J. V. Snellman - Seteli","","Joh. Enschedé, Hollanti","300000","Päivi Vainionpää","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1797.jpg"
"Snellman valtiomies professori muotokuva kartta rautatiet liikenne","11.1.2006","","0,65","J. V. Snellman - Muotokuva","","Joh. Enschedé, Hollanti","300000","Päivi Vainionpää","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1798.jpg"
"Snellman valtiomies professori rautatiet liikenne veturi kartta","11.1.2006","","0,65","J. V. Snellman - Rautatiet","","Joh. Enschedé, Hollanti","300000","Päivi Vainionpää","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1799.jpg"
"kansanedustuslaitos eduskunta tarramerkki","3.2.2006","","1","Eduskunta 100 vuotta","","Cartor Security Printing, Ranska","2000000","Timo Berry","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1800.jpg"
"Akseli Gallen-Kallela taide julistetaide käyttögrafiikka mainonta auto Kalevala kuvataide tarramerkki","1.3.2006","","2","Akseli Gallen-Kallela, Julisteita - Bil Bol","","Joh. Enschedé, Hollanti","1333333","Tapani Aartomaa","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1801.jpg"
"Akseli Gallen-Kallela taide julistetaide käyttögrafiikka mainonta taidenäyttely näyttely kuvataide Hugo Simberg tarramerkki","1.3.2006","","2","Akseli Gallen-Kallela, Julisteita - Erottaja 2","","Joh. Enschedé, Hollanti","1333333","Tapani Aartomaa","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1802.jpg"
"Akseli Gallen-Kallela taide julistetaide käyttögrafiikka mainonta Kalevala musiikki konsertti kuvataide tarramerkki","1.3.2006","","2","Akseli Gallen-Kallela, Julisteita - Concert Finnois","","Joh. Enschedé, Hollanti","1333333","Tapani Aartomaa","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1803.jpg"
"Akseli Gallen-KallelaTarvaspää taide kuvataide maalaus Mary Marjatta tarramerkki","1.3.2006","","1","Akseli Gallen-Kallela, Madonna","","Joh. Enschedé, Hollanti","6666666","Tapani Aartomaa","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1804.jpg"
"Akseli Gallen-Kallela Tarvaspää taide kuvataide maalaus muotokuva taiteilija omakuva tarramerkki","1.3.2006","","1","Akseli Gallen-Kallela, Omakuva Uffizi-galleriaa varten","","Joh. Enschedé, Hollanti","6666666","Tapani Aartomaa","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1805.jpg"
"Akseli Gallen-Kallela Tarvaspää rakennus arkkitehtuuri  tarramerkki","1.3.2006","","1","Akseli Gallen-Kallela, Tarvaspää","","Joh. Enschedé, Hollanti","6666666","Tapani Aartomaa","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1806.jpg"
"vuotuisjuhlat pääsiäinen tipu muna tarramerkki","1.3.2006","","0,65","Pääsiäistipu","","Walsall Security Printers, Englanti","2000000","Nina Rintala","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1807.jpg"
"luonto kasvikunta kukka  syreeni syringa vulgaris tarramerkki","1.3.2006","","1","Syreeni","","Joh. Enschedé, Hollanti","9000000","Leena Airikkala","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1808.jpg"
"Suomen lippu heraldiikka tarramerkki","1.3.2006","","1","Suomen lippu","","Walsall Security Printers, Englanti","5000000","Marja-Leena Muukka, kuva Ari Rosila","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1809.jpg"
"Helene Schjerfbeck Ennustaja Nainen keltaisessa leningissä Ateneum kuvataide maalaus muotokuva  tarramerkki","1.3.2006","","0,95","Helene Schjerfbeck, Ennustaja","","Joh. Enschedé, Hollanti","3000000","Antti Raudaskoski","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1810.jpg"
"Rudolf Koivu kirjallisuus lastenkirjallisuus satu kuvitus kuvataide keiju mytologia ","29.3.2006","","0,65","Rudolf Koivu, Keiju","","Joh. Enschedé, Hollanti","300000","Pekka Piippo, Antti Raudaskoski","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1811.jpg"
"Rudolf Koivu kirjallisuus lastenkirjallisuus satu kuvitus kuvataide keiju mytologia tonttu","29.3.2006","","0,65","Rudolf Koivu, Keiju ja tonttu","","Joh. Enschedé, Hollanti","300000","Pekka Piippo, Antti Raudaskoski","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1812.jpg"
"kokardi tunnus embleemi posti vaakuna heraldiikka tarramerkki","4.5.2006","","1","Kokardi","","Cartor Security Printing, Ranska","720000","Ari Lakaniemi, Susanna Rumpu","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1813.jpg"
"Suomenlinna Viapori Sveaborg linnoitus maanpuolustus Unescon maailmanperintökohde Kuninkaanportti arkkitehtuuri purjelaiva merenkulku Påjama laiva suojelukohteet","4.5.2006","","1","Suomenlinna - Kuninkaanportti","","Posten Frimärken, Ruotsi","455000","Erik Bruun","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1814.jpg"
"Suomenlinna Viapori Sveaborg linnoitus maanpuolustus Unescon maailmanperintökohde Tenalji von Fersen arkkitehtuuri purjelaiva merenkulku laiva Turkoma suojelukohteet","4.5.2006","","1","Suomenlinna - Tenalji von Fersen","","Posten Frimärken, Ruotsi","455000","Erik Bruun","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1815.jpg"
"Suomenlinna Viapori Sveaborg linnoitus maanpuolustus Unescon maailmanperintökohde arkkitehtuuri Udenma laiva purjelaiva merenkulku  suojelukohteet","4.5.2006","","1","Suomenlinna - Bastioni Hjärne","","Posten Frimärken, Ruotsi","455000","Erik Bruun","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1816.jpg"
"kissa eläin lemmikkieläin maatiaiskissa tarramerkki","4.5.2006","","1","Kissoja - Kotikissa","","Walsall Security Printers, Englanti","350000","Katriina Viljamaa-Rissanen","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1817.jpg"
"kissa eläin lemmikkieläin englantilainen lyhytkarvakissa tarramerkki","4.5.2006","","1","Kissoja - Englantilainen lyhytkarvakissa","","Walsall Security Printers, Englanti","350000","Katriina Viljamaa-Rissanen","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1818.jpg"
"kissa eläin lemmikkieläin ragdoll tarramerkki","4.5.2006","","1","Kissoja - Ragdoll","","Walsall Security Printers, Englanti","350000","Katriina Viljamaa-Rissanen","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1819.jpg"
"kissa eläin lemmikkieläin persialainen tarramerkki","4.5.2006","","1","Kissoja - Persialainen","","Walsall Security Printers, Englanti","350000","Katriina Viljamaa-Rissanen","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1820.jpg"
"lomailu vapaa-aika kesä vuodenajat onginta tarramerkki","4.5.2006","","1","Kesäloma - Ongella","","Walsall Security Printers, Englanti","350000","Virpi Pekkala","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1821.jpg"
"lomailu vapaa-aika kesä vuodenajat kasvi kukka niitty seppele tarramerkki","4.5.2006","","1","Kesäloma - Niityllä","","Walsall Security Printers, Englanti","350000","Virpi Pekkala","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1822.jpg"
"lomailu vapaa-aika kesä vuodenajat sauna saunominen  tarramerkki","4.5.2006","","1","Kesäloma - Vihdanteko","","Walsall Security Printers, Englanti","350000","Virpi Pekkala","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1823.jpg"
"lomailu vapaa-aika kesä vuodenajat puutarhanhoito tarramerkki","4.5.2006","","1","Kesäloma - Puutarhanhoito","","Walsall Security Printers, Englanti","350000","Virpi Pekkala","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1824.jpg"
"Vaasa kaupunki purjehdus saaristo","4.5.2006","","1","Vaasa 400 vuotta","","Cartor Security Printing, Ranska","600000","Pekka Piippo","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1825.jpg"
"EU Europa Eurooppa kansainvälinen yhteistyö pyöräily","4.5.2006","","0,65","Yhdentyminen","","Cartor Security Printing, Ranska","1000000","Aino-Maija Metsola","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1826.jpg"
"perhe huumori sarjakuva viestintä televisio tarramerkki","24.8.2006","","1","Perhe-elämää - Interpassiivinen tv","","Joh. Enschedé, Hollanti","1000000","Matti Remes","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1827.jpg"
"perhe huumori sarjakuva viestintä kirje tarramerkki","24.8.2006","","1","Perhe-elämää - Kirje","","Joh. Enschedé, Hollanti","1000000","Matti Remes","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1828.jpg"
"mustikka marja kasvi ravinto ruoka tarramerkki","24.8.2006","","1","Mustikka","","Joh. Enschedé, Hollanti","8000000","Pirkko Juvonen-Sandborg","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1829.jpg"
"lumi jää veistos vuodenajat talvi hevonen Steve Brice Charles Dash Carl Eady  Michael Gresham jääveistos Blue Ice Art  tarramerkki","22.9.2006","","1","Lumiteoksia - Hevonen","","Joh. Enschedé, Hollanti","350000","Ari Lakaniemi, Susanna Rumpu","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1830.jpg"
"lumi jää veistos vuodenajat talvi Kemi lumilinna tarramerkki","22.9.2006","","1","Lumiteoksia - Lumilinna, Kemi","","Joh. Enschedé, Hollanti","350000","Ari Lakaniemi, Susanna Rumpu","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1831.jpg"
"lumi jää veistos vuodenajat talvi tarramerkki","22.9.2006","","1","Lumiteoksia - Jäämuuri","","Joh. Enschedé, Hollanti","350000","Ari Lakaniemi, Susanna Rumpu","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1832.jpg"
"lumi veistos vuodenajat talvi tarramerkki","22.9.2006","","1","Lumiteoksia - Lumilyhty","","Joh. Enschedé, Hollanti","350000","Ari Lakaniemi, Susanna Rumpu","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1833.jpg"
"journalismi sanomalehti joukkoviestintä viestintä  tarramerkki","22.9.2006","","0,70","Sanomalehtijournalismi","","Cartor Security Printing, Ranska","2000000","Dog design","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1834.jpg"
"kasvi kukka lapinvuokko dryas octopetala tarramerkki","22.9.2006","","1","Lapinvuokko","","Joh. Enschedé, Hollanti","10000000","Timo Berry, kuva Ari Mäkelä","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1835.jpg"
"taide tekstiilitaide Ritva Puotila Points tarramerkki","22.9.2006","","1","Ritva Puotila, Points","","Cartor Security Printing, Ranska","200000","Pekka Piippo, kuva Sameli Rantanen","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1836.jpg"
"postimerkki leijona vaakuna","27.10.2006","","0,70","Postimerkin juhla","","Cartor Security Printing, Ranska","223000","Päivi Vainionpää","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1837.jpg"
"postimerkki leijona vaakuna","27.10.2006","","1,40","Postimerkin juhla","","Cartor Security Printing, Ranska","220000","Päivi Vainionpää","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1838.jpg"
"postimerkki leijona vaakuna","27.10.2006","","0,95","Postimerkin juhla","","Cartor Security Printing, Ranska","223000","Päivi Vainionpää","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1839.jpg"
"joulu vuotuisjuhlat lintu talitiainen eläin  tarramerkki","27.10.2006","","0,50","Tyttö ja talitintti","","Joh. Enschedé, Hollanti","43000000","Leena Airikkala","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1840.jpg"
"joulu vuotuisjuhlat eläin lintu tilhi pihlaja tarramerkki","27.10.2006","","1","Tilhi","","Joh. Enschedé, Hollanti","6000000","Leena Airikkala","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1841.jpg"
"taide kuvataide maalaus maisema Ferdinand von Wright Talvimaisema Haminanlahdelta tarramerkki","24.1.2007","","1","Ferdinand von Wright, Talvimaisema Haminalahdelta","","Joh. Enschedé, Hollanti","3000000","Päivi Vainionpää","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1842.jpg"
"ystävyys tunteet tervehdykset ystävänpäivä vuotuisjuhlat","24.1.2007","","0,70","Katse","","Walsall Security Printers, Englanti","2000000","Aino-Maija Metsola","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1843.jpg"
"viestintä media televisio tiedonvälitys Tamvision kamera antenni tv-lähetykset tarramerkki","24.1.2007","","0,70","Tv-lähetykset 50 vuotta","","Joh. Enschedé, Hollanti","1500000","Dog design: Ilona Ilottu, Eeva Sivula, Petri Salmela","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1844.jpg"
"hologrammi lumi maantiede napapiiri kansainvälinen polaarivuosi tutkimus tiede revontulet ilmatiede meteorologia napa-alueet","24.1.2007","","0,70","Kansainvälinen polaarivuosi - Revontulet","","Cartor Security Printing, Ranska","350000","Ari Lakaniemi, Susanna Rumpu","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1845.jpg"
"hologrammi lumi maantiede napapiiri kansainvälinen polaarivuosi tutkimus tiede meteorologia ilmatiede napa-alueet","24.1.2007","","0,70","Kansainvälinen polaarivuosi - Lumikide","","Cartor Security Printing, Ranska","350000","Ari Lakaniemi, Susanna Rumpu","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1846.jpg"
"liikenne auto kuorma-auto kuljetus metsätalous savotta Reo Heavy Truck tarramerkki","24.1.2007","","0,70","Kuorma-autoliikennettä - Tukkisavotta","","Walsall Security Printers, Englanti","350000","Kaisu Klemetti, kuva Luston kokoelmat","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1847.jpg"
"liikenne auto kuorma-auto kuljetus maatalous maidontuotanto De Soto tarramerkki","24.1.2007","","0,70","Kuorma-autoliikennettä - Maitoauto","","Walsall Security Printers, Englanti","350000","Kaisu Klemetti, kuva Valion arkisto","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1848.jpg"
"liikenne auto kuorma-auto kuljetus Sisu tienrakennus tietyöt asfaltointi Juselius tarramerkki","24.1.2007","","0,70","Kuorma-autoliikennettä - Asfaltointi","","Walsall Security Printers, Englanti","350000","Kaisu Klemetti, kuva Jouko Leskelä","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1849.jpg"
"liikenne auto kuorma-auto kuljetus Volvo tavaraliikenne rahti Huttunen tarramerkki","24.1.2007","","0,70","Kuorma-autoliikennettä - Tavaraliikenne","","Walsall Security Printers, Englanti","350000","Kaisu Klemetti, kuva Jouko Leskelä","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1850.jpg"
"auringonlasku aurinko maisema tupasvilla Eriophorum vaginatum tarramerkki","24.1.2007","","1,40","Auringonlasku","","Walsall Security Printers, Englanti","2000000","Aino-Maija Metsola","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1851.jpg"
"liikunta urheilu jalkapallo Suomen Palloliitto tarramerkki","7.3.2007","","0,70","Suomen Palloliitto 100 vuotta","","Walsall Security Printers, Englanti","2000000","Ari Lakaniemi, Susanna Rumpu","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1852.jpg"
"SAK ammattiyhdistys Suomen Ammattiliittojen Keskusjärjestö järjestötoiminta ","7.3.2007","","0,70","SAK 100 vuotta","","Cartor Security Printing, Ranska","800000","Heikki Nuutinen","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1853.jpg"
"Mikael Agricola suomen kieli kirjallisuus Abckirja papisto piispa","7.3.2007","","0,70","Mikael Agricola - ABC-kirja","","Joh. Enschedé, Hollanti","300000","Timo Berry","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1854.jpg"
"Mikael Agricola suomen kieli kirjallisuus papisto piispa kirkko taide kuvitus Lucas Cranach Uusi Testamentti","7.3.2007","","0,70","Mikael Agricolan kuolemasta 450 vuotta","","Joh. Enschedé, Hollanti","300000","Timo Berry","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1855.jpg"
"pääsiäinen vuotuisjuhlat muna jänis tarramerkki","7.3.2007","","1","Pääsiäisiloa","","Cartor Security Printing, Ranska","2000000","Heljä Liukko-Sundström","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1856.jpg"
"kasvi lilja tarhasarjalilja Lilium Enchantment tarramerkki","7.3.2007","","1","Tarhasarjalilja","","Walsall Security Printers, Englanti","7000000","Leena Airikkala","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1857.jpg"
"Eurovision laulukilpailu Eurovision Song Contest viihde musiikki iskelmä  tarramerkki","9.5.2007","","0,70","Eurovision Song Contest 2007","","Joh. Enschedé, Hollanti","400000","Timo Berry","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1858.jpg"
"Eurovision laulukilpailu Eurovision Song Contest viihde musiikki iskelmä Laila Kinnunen Marion Rung Kirka Babitzin Katri Helena tarramerkki","9.5.2007","","0,70","Eurovision Song Contest 2007 - Suomen edustajia","","Joh. Enschedé, Hollanti","400000","Timo Berry","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1859.jpg"
"Eurovision laulukilpailu Eurovision Song Contest viihde musiikki rock Mr Lordi Tomi Putaansuu Awa Leena Peisa Kita Sampsa Astala Amen Jussi Sydänmaa OX Samer el Nahhal tarramerkki","9.5.2007","","0,70","Eurovision Song Contest 2007 - Lordi","","Joh. Enschedé, Hollanti","400000","Timo Berry","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1860.jpg"
"Eurovision laulukilpailu Eurovision Song Contest viihde musiikki rock Mr Lordi Tomi Putaansuu  tarramerkki","9.5.2007","","0,70","Eurovision Song Contest 2007 - Mr Lordi","","Joh. Enschedé, Hollanti","400000","Timo Berry, kuva Tomi Putaansuu","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1861.jpg"
"harrastustoiminta partio purjehdus","9.5.2007","","0,70","Partio - Purjehdus","","The Lowe-Martin Group, Kanada","500000","Ari Lakaniemi, Susanna Rumpu, kuva Ari Lakaniemi ja Pekka Luukkola","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1862.jpg"
"harrastustoiminta partio retkeily","9.5.2007","","0,70","Partio - Retkeily","","The Lowe-Martin Group, Kanada","500000","Ari Lakaniemi, Susanna Rumpu, kuva Pekka Luukkola ja Matti Lehto","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1863.jpg"
"uskonto arkkitehtuuri kirkko käärme fresko kattomaalaus kuvataide taide Hugo Simberg Lars Sonck jugend kansallisromantiikka","9.5.2007","","0,70","Tampereen tuomiokirkko 100 vuotta","","The Lowe-Martin group, Kanada","700000","Dog design: Ilona Ilottu, Petri Salmela, Eeva Sivula","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1864.jpg"
"liikenne joukkoliikenne juna rautatieasema rautatieliikenne UITP kongressi Helsinki tarramerkki","9.5.2007","","1","Joukkoliikennettä - Juna","","Walsall Security Printers, Englanti","350000","Kaisu Klemetti, kuva Jouko Leskelä","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1865.jpg"
"liikenne joukkoliikenne raitiovaunu UITP kongressi Helsinki tarramerkki","9.5.2007","","1","Joukkoliikennettä - Raitiovaunu","","Walsall Security Printers, Englanti","350000","Kaisu Klemetti, kuva Jouko Leskelä","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1866.jpg"
"liikenne joukkoliikenne juna metro UITP kongressi Helsinki silta tarramerkki","9.5.2007","","1","Joukkoliikennettä - Metrojuna","","Walsall Security Printers, Englanti","350000","Kaisu Klemetti, kuva Jouko Leskelä","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1867.jpg"
"liikenne joukkoliikenne Kamppi terminaali UITP kongressi Helsinki tarramerkki","9.5.2007","","1","Joukkoliikennettä - Kampin terminaali","","Walsall Security Printers, Englanti","350000","Kaisu Klemetti, kuva Jouko Leskelä","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1868.jpg"
"Tove Jansson Muumit kuvitus kirjallisuus lastenkirjallisuus kuvataide Pikku Myy","9.5.2007","","1","Muumilaakson kesä - Pikku Myy","","Joh. Enschedé, Hollanti","700000","Ari Lakaniemi, Susanna Rumpu, orig. Tove Jansson","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1869.jpg"
"Tove Jansson Muumit kuvitus kirjallisuus lastenkirjallisuus kuvataide Muumipeikko","9.5.2007","","1","Muumilaakson kesä - Muumipeikko","","Joh. Enschedé, Hollanti","700000","Ari Lakaniemi, Susanna Rumpu, orig. Tove Jansson","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1870.jpg"
"Tove Jansson Muumit kuvitus kirjallisuus lastenkirjallisuus kuvataide Muumipappa","9.5.2007","","1","Muumilaakson kesä - Muumipappa","","Joh. Enschedé, Hollanti","700000","Ari Lakaniemi, Susanna Rumpu, orig. Tove Jansson","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1871.jpg"
"Tove Jansson Muumit kuvitus kirjallisuus lastenkirjallisuus kuvataide Niiskuneiti","9.5.2007","","1","Muumilaakson kesä - Niiskuneiti","","Joh. Enschedé, Hollanti","700000","Ari Lakaniemi, Susanna Rumpu, orig. Tove Jansson","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1872.jpg"
"Tove Jansson Muumit kuvitus kirjallisuus lastenkirjallisuus kuvataide Muumimamma","9.5.2007","","1","Muumilaakson kesä - Muumimamma","","Joh. Enschedé, Hollanti","700000","Ari Lakaniemi, Susanna Rumpu, orig. Tove Jansson","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1873.jpg"
"Tove Jansson Muumit kuvitus kirjallisuus lastenkirjallisuus kuvataide Nuuskamuikkunen","9.5.2007","","1","Muumilaakson kesä - Nuuskamuikkunen","","Joh. Enschedé, Hollanti","700000","Ari Lakaniemi, Susanna Rumpu, orig. Tove Jansson","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1874.jpg"
"kasvi marja vadelma rubus idaeus ravinto ruoka tarramerkki","24.8.2007","","1","Vadelma","","Joh. Enschedé, Hollanti","8000000","Katriina Viljamaa-Rissanen","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1875.jpg"
"eläin perhonen hyönteinen suokeltaperhonen colias palaeno  tarramerkki","24.8.2007","","1","Päiväperhosia - Suokeltaperhonen","","Joh. Enschedé, Hollanti","10000000","Timo Berry, kuva Jussi Murtosaari","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1876.jpg"
"eläin perhonen hyönteinen kalliosinisiipi scolitantides orion tarramerkki","24.8.2007","","1","Päiväperhosia - Kalliosinisiipi","","Joh. Enschedé, Hollanti","10000000","Timo Berry, kuva Jussi Murtosaari","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1877.jpg"
"eläin perhonen hyönteinen häiveperhonen apatura iris tarramerkki","24.8.2007","","1","Päiväperhosia - Häiveperhonen","","Joh. Enschedé, Hollanti","10000000","Timo Berry, kuva Jussi Murtosaari","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1878.jpg"
"antiikkiesine empire sisustustaide taideteollisuus huonekalu tuoli tarramerkki","24.8.2007","","1","Antiikkia I - Empire ja funktionalismi","","Walsall Security Printers, Englanti","10000000","Pekka Piippo, kuvat Pekka Piippo ja Jenni Kuokka","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1879.jpg"
"antiikkiesine empire funktionalismi huonekalu tuoli sisustustaide taideteollisuus tarramerkki","24.8.2007","","1","Antiikkia I - Empire ja funktionalismi","","Walsall Security Printers, Englanti","10000000","Pekka Piippo, kuvat Pekka Piippo ja Jenni Kuokka","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1880.jpg"
"urheilu olympialaiset suomen olympiakomitea lippu tarramerkki","24.8.2007","","1","Suomen Olympiakomitea 100 vuotta","","Walsall Security Printers, Englanti","2000000","Heikki Nuutinen","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1881.jpg"
"arkkitehtuuri rakennustaide Juha Leiviskä Männistön Pyhän Johanneksen kirkko Kuopio uskonto tarramerkki","24.8.2007","","1","Rakennustaidetta - Juha Leiviskä, Männistön kirkko","","Cartor Security Printing, Ranska","200000","Pekka Piippo, kuva Henry Plummer","luokka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1882.jpg"
"taidekäsityö antiikki sisustus kalusteet huonekalu tuoli Hongkong","2.11.2007","","0,70","Taidekäsityö - Tuoli Qing-dynastian ajalta","","Joh. Enschedé, Hollanti","450000","Ken Li","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1883.jpg"
"taidekäsityö sisustus astia Markku Kosonen Hongkong","2.11.2007","","0,70","Taidekäsityö - Puukulhot","","Joh. Enschedé, Hollanti","450000","Markku Kosonen","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1884.jpg"
"itsenäisyys kilpailu valokuvaus metsätalous metsätyö hevonen kotieläin eläin Taivalkoski Vaarakylä","2.11.2007","","0,70","Muistikuvia Suomesta - Tukkimetsässä","","Joh. Enschedé, Hollanti","375000","Päivi Vainionpää, kuvaaja tuntematon","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1885.jpg"
"itsenäisyys kilpailu valokuvaus lehmä kotieläin maatalous torvi Pielisjärvi Kontiovaara ","2.11.2007","","0,70","Muistikuvia Suomesta - Pieni paimentyttö","","Joh. Enschedé, Hollanti","375000","Päivi Vainionpää, kuva Kerttu Sorsa","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1886.jpg"
"itsenäisyys kilpailu valokuvaus liikunta urheilu hiihto Rovaniemen maalaiskunta Viirin kylä","2.11.2007","","0,70","Muistikuvia Suomesta - Kaksospojat mäessä","","Joh. Enschedé, Hollanti","375000","Päivi Vainionpää, kuva Irmeli Leppänen","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1887.jpg"
"itsenäisyys kilpailu valokuvaus Kuorevesi Halli maatalous ","2.11.2007","","0,70","Muistikuvia Suomesta - Kahvihetki","","Joh. Enschedé, Hollanti","375000","Päivi Vainionpää, kuva Erkki Virkkunen","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1888.jpg"
"itsenäisyys kilpailu valokuvaus Längelmävesi vuotuisjuhlat juhannus kokko perinne","2.11.2007","","0,70","Muistikuvia Suomesta - Kokkotuli","","Joh. Enschedé, Hollanti","375000","Päivi Vainionpää, kuva Pekka Tanila","€","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/1889.jpg"
