"asiasanat","ilmestymispäivä","käytön päättyminen","nimellisarvo","merkin nimi","merkin väri","painopaikka","painosmäärä","taiteilija","valuutta","kuvan_url"
"vaakuna leijona saarinen 1917 saarismalli","16.04.1920","31.07.1925","0,10","Malli 1917 Saarinen","vihreä","Suomen leimakonttorin kirjapaino","27719600","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0103.jpg"
"vaakuna leijona saarinen 1917 saarismalli","07.05.1920","31.07.1925","0,20","Malli 1917 Saarinen","punainen","Suomen leimakonttorin kirjapaino","28535000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0104.jpg"
"vaakuna leijona saarinen 1917 saarismalli","10.02.1919","31.12.1930","0,25","Malli 1917 Saarinen","ruskea","Suomen leimakonttorin kirjapaino","15000000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0105.jpg"
"vaakuna leijona saarinen 1917 saarismalli","16.01.1920","31.07.1925","0,50","Malli 1917 Saarinen","sininen","Suomen leimakonttorin kirjapaino","15034400","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0106.jpg"
"vaakuna leijona saarinen 1917 saarismalli","09.02.1921","31.07.1925","0,30","Malli 1917 Saarinen","vihreä","Suomen leimakonttorin kirjapaino","16899000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0107.jpg"
"vaakuna leijona saarinen 1917 saarismalli","07.02.1921","31.12.1930","0,60","Malli 1917 Saarinen","lila","Suomen leimakonttorin kirjapaino","7485000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0108.jpg"
"vaakuna leijona saarinen 1917 saarismalli","10.02.1921","31.12.1930","0,90","Malli 1917 Saarinen","punainen","Suomen leimakonttorin kirjapaino","6150000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0109.jpg"
"vaakuna leijona saarinen 1917 saarismalli","07.02.1921","31.12.1930","1,50","Malli 1917 Saarinen","sininen","Suomen leimakonttorin kirjapaino","14200000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0110.jpg"
"vaakuna leijona saarinen 1917 saarismalli","26.06.1921","31.12.1930","0,10","Malli 1917 Saarinen","sininen","Suomen leimakonttorin kirjapaino","31158000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0111.jpg"
"vaakuna leijona saarinen 1917 saarismalli","06.07.1921","31.12.1930","0,50","Malli 1917 Saarinen","vihreä","Suomen leimakonttorin kirjapaino","25215400","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0112.jpg"
"vaakuna leijona saarinen 1917 saarismalli","02.12.1921","31.12.1930","0,60","Malli 1917 Saarinen","lila","Suomen leimakonttorin kirjapaino","45273000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0113.jpg"
"vaakuna leijona saarinen 1917 saarismalli","31.03.1921","31.12.1930","0,75","Malli 1917 Saarinen","keltainen","Suomen leimakonttorin kirjapaino","5500000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0114.jpg"
"vaakuna leijona saarinen 1917 saarismalli","06.03.1921","31.07.1925","2","Malli 1917 Saarinen","vihreä / musta","Suomen leimakonttorin kirjapaino","4935000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0115.jpg"
"vaakuna leijona saarinen 1917 saarismalli","07.03.1921","31.12.1930","3","Malli 1917 Saarinen","sininen / musta","Suomen leimakonttorin kirjapaino","4925000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0116.jpg"
"vaakuna leijona saarinen 1917 saarismalli","07.03.1921","31.12.1930","25","Malli 1917 Saarinen","punainen / keltainen","Suomen leimakonttorin kirjapaino","379000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0117.jpg"
"vaakuna leijona punainen risti avustus hyväntekeväisyys avustustoiminta","15.05.1922","31.12.1930","1","Suomen vaakuna ja punainen risti","harmaa","Suomen leimakonttorin kirjapaino","655650","Eric O. W. Ehrström","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0118.jpg"
"vaakuna leijona  saarinen 1917 saarismalli","28.06.1924","31.12.1930","0,20","Malli 1917 Saarinen","ruskea","Suomen Pankin Setelipaino","4434000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0119.jpg"
"vaakuna leijona saarinen 1917 saarismalli","01.06.1923","31.12.1930","0,30","Malli 1917 Saarinen","vihreä","Suomen leimakonttorin kirjapaino","15011000","Eliel Saarinen","markka","http://www.postimuseo.fi/kiosks/14/postimerkit/260x260/0120.jpg"
